,job_title,frequency,job_category
50496,Cleaner,118,cleaner
2993,Education assistant,95,education assistant
50467,Driver,91,driver
4159,Education Assistant,84,education assistant
5887,Educator Assistant ,83,education assistant
3727,Education Assistant ,81,education assistant
2870,Education assistant ,79,education assistant
50576,General worker,79,general worker
2588,Cashier,78,cashier
2545,Educator Assistant,73,education assistant
50471,Cashier,67,cashier
3254,Educator assistant,65,education assistant
2985,Screener,59,covid19 screener
2806,Educator assistant ,57,education assistant
50558,Nanny,52,childcare
2696,Screener,52,covid19 screener
50509,Domestic worker,52,cleaner
3968,Education Assistant,45,education assistant
41975,Education Assistant ,44,education assistant
5545,Teacher assistant,43,tutor
41917,Cashier,39,cashier
4253,Assistant teacher,37,tutor
5253,Screener,36,covid19 screener
50635,Cashier ,35,cashier
42294,Education Assistant,35,education assistant
42906,Cashier ,35,cashier
3913,Cashier ,34,cashier
3463,Till operator ,33,cashier
2784,Sales consultant ,33,sales assistant
2478,Screener,33,covid19 screener
2483,General assistant,33,education assistant
3494,Cashier,32,cashier
43192,Education assistant,32,education assistant
50571,Cleaning,32,cleaner
2695,Teacher assistant ,31,tutor
2583,Education Assistant ,31,education assistant
4371,Educator Assistant ,31,education assistant
7946,Educator Assistant,30,education assistant
3751,Education assistant ,30,education assistant
2628,None,29,No description
50756,Assistant,28,Unclassified
4885,Educational assistant,28,education assistant
50609,Receptionist ,28,receptionist
43191,Education assistant ,27,education assistant
43702,Educator Assistant ,27,education assistant
50596,General work,27,general worker
50553,Education Assistant ,26,education assistant
3606,Cashier,26,cashier
4432,Educator assistant ,26,education assistant
50543,General assistant,26,education assistant
50632,Tutor,24,tutor
50533,Education Assistant,24,education assistant
50697,Selling,24,sales assistant
50726,Administration ,24,admin assistant clerk
50685,Teacher,24,tutor
50517,Education assistant,24,education assistant
2869,General school assistant,24,education assistant
3574,Education Assistant,24,education assistant
42911,Sales consultant ,24,sales assistant
50564,General assistant ,23,education assistant
2516,Sales consultant,23,sales assistant
2751,Cashier,23,cashier
5739,Teacher Assistant ,23,tutor
5737,Cashier,23,cashier
50463,Driver ,23,driver
50890,Assistant ,23,Unclassified
73335,Supervisor,22,manager
4816,Assistant teacher ,22,tutor
5924,Cashier,22,cashier
9056,Cleaner,22,cleaner
50556,Education assistant ,22,education assistant
50562,Cleaner ,22,cleaner
45033,Education Assistant ,22,education assistant
43442,Educator Assistant,22,education assistant
73251,Supervisor ,22,manager
43631,Cashier,21,cashier
6554,Till operator,21,cashier
50536,General worker ,21,general worker
42171,Education Assistant,20,education assistant
50502,Assistant teacher,20,tutor
50528,Shop assistant ,20,sales assistant
2661,Cashier,20,cashier
42572,Educator assistant,19,education assistant
4288,Education assistant,19,education assistant
6044,Cashier,19,cashier
50751,Sales agent,19,sales assistant
73960,Teacher Assistant,19,tutor
7522,School assistant,19,education assistant
10319,Till packer,19,cashier
50497,Assistant teacher ,18,tutor
2960,Teacher Assistant,18,tutor
45471,Screener,17,covid19 screener
50522,Hairdresser,17,Unclassified
4217,Education assistance,17,education assistant
50456,Domestic work,17,cleaner
7891,Educator Assistant,17,education assistant
4195,Educator assistant,17,education assistant
73435,Education assistant,17,education assistant
51130,General school assistant,17,education assistant
50662,Seller,17,Unclassified
50541,Administrator,17,admin assistant clerk
42316,Education Assistant,17,education assistant
2871,Cashier,16,cashier
8500,Education Assistant,16,education assistant
6159,School assistant ,16,education assistant
